NODE003	NODE006	NODE009	NODE010	NODE011	NODE012	NODE013	NODE014	NODE015	NODE016	NODE017	NODE018	NODE019	NODE020	NODE022	NODE023	NODE024	NODE025	NODE026	NODE027	NODE028	NODE029	NODE030	NODE031	NODE032	NODE033	NODE034	NODE035	NODE036	NODE037	NODE038	NODE039	NODE040	NODE041	NODE042	NODE043	NODE044	NODE045	NODE046	NODE047	NODE048	NODE049	NODE050	NODE051	NODE052	NODE053
STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01
STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00
STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01
STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00
STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00
STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00
STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01
STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00
STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01
STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00
STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00
STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01
STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01
STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00
STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00
STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01
STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01
STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01
STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00
STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01
STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00
STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00
STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01
STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00
STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01
STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00
STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00
STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00
STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00
STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01
STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00
STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00
STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00
STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00
STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01
STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00
STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01
STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01
STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01
STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01
STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00
STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00
STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01
STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00
STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00
STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01
STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00
STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00	STATE01	STATE00	STATE01	STATE00	STATE00	STATE01	STATE00	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE01	STATE01	STATE01	STATE00	STATE00	STATE00	STATE00	STATE01	STATE01	STATE00
