V0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State0	State0	State3	State3	State0	State0	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State1	State1	State1	State1	State3	State3	State0	State0	State3
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State2	State2	State2	State2	State2	State2	State0	State0	State3	State3	State0	State0	State0
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State1	State1	State2	State2	State2	State2	State3	State3	State2	State2	State0	State0	State3	State3	State2
State0	State0	State2	State2	State3	State3	State0	State0	State0	State0	State1	State1	State2	State2	State3	State3	State2	State2	State1	State1	State1	State1	State0	State0	State0
State0	State0	State3	State3	State0	State0	State0	State0	State2	State2	State2	State2	State0	State0	State2	State2	State2	State2	State1	State1	State1	State1	State2	State2	State1
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State1	State1	State2	State2	State3	State3	State2	State2	State1	State1	State3	State3	State3	State3	State0
State2	State2	State1	State1	State3	State3	State2	State2	State2	State2	State2	State2	State3	State3	State1	State1	State2	State2	State0	State0	State1	State1	State3	State3	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State0	State0	State2	State2	State1	State1	State0	State0	State0	State0	State2	State2	State0
State0	State0	State3	State3	State0	State0	State1	State1	State0	State0	State1	State1	State2	State2	State3	State3	State1	State1	State3	State3	State2	State2	State1	State1	State1
State0	State0	State2	State2	State3	State3	State3	State3	State0	State0	State2	State2	State0	State0	State1	State1	State1	State0	State2	State2	State0	State0	State3	State3	State2
State0	State0	State2	State2	State3	State3	State0	State0	State0	State0	State1	State1	State3	State3	State0	State0	State1	State1	State1	State1	State1	State1	State3	State3	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State3	State3	State1	State1	State1	State1	State1	State1	State1	State1	State1	State1	State2
State0	State0	State0	State0	State0	State0	State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State1	State1	State2	State2	State1
State0	State0	State3	State3	State2	State2	State3	State3	State1	State1	State3	State3	State2	State2	State3	State3	State3	State3	State3	State3	State1	State1	State3	State3	State0
State0	State0	State2	State2	State3	State3	State0	State0	State0	State0	State1	State1	State2	State2	State2	State2	State3	State3	State2	State2	State1	State1	State0	State0	State0
State0	State0	State3	State3	State0	State0	State0	State0	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State3	State3	State0	State0	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State0	State0	State0	State0	State2	State2	State2	State2	State0	State0	State1	State1	State2	State2	State1
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State2	State2	State0	State0	State1	State1	State2	State2	State1	State1	State1	State1	State0	State0	State0
State0	State0	State2	State2	State2	State2	State3	State3	State1	State1	State3	State3	State3	State3	State1	State1	State1	State1	State0	State0	State1	State1	State2	State2	State1
State0	State0	State2	State2	State2	State2	State3	State3	State1	State1	State3	State3	State2	State2	State3	State3	State2	State2	State0	State0	State2	State2	State3	State3	State2
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State2	State2	State3	State3	State3	State3	State2	State2	State1	State1	State3	State3	State0	State0	State0
State0	State0	State3	State3	State3	State3	State1	State1	State0	State0	State1	State1	State2	State2	State3	State3	State2	State2	State1	State1	State2	State2	State1	State1	State1
State0	State0	State0	State0	State0	State1	State2	State2	State2	State2	State2	State2	State0	State0	State2	State2	State2	State2	State0	State0	State1	State1	State3	State3	State0
State0	State0	State2	State2	State3	State3	State0	State0	State1	State1	State0	State0	State0	State0	State2	State2	State2	State2	State1	State1	State3	State3	State0	State0	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State3	State3	State3	State3	State3	State3	State0	State0	State0	State0	State2	State2	State0
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State1	State1	State0	State0	State1	State1	State1	State1	State0	State0	State1	State1	State0	State0	State0
State2	State2	State1	State1	State0	State0	State3	State3	State1	State1	State3	State3	State3	State3	State1	State1	State2	State2	State1	State1	State1	State1	State3	State3	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State0	State0	State1	State1	State2	State2	State2
State0	State0	State2	State3	State3	State3	State1	State1	State3	State3	State3	State3	State2	State2	State3	State3	State2	State2	State0	State0	State2	State2	State1	State1	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State0	State0	State2	State2	State1	State1	State1
State0	State0	State2	State2	State2	State2	State3	State3	State1	State1	State2	State2	State0	State0	State2	State2	State3	State3	State2	State2	State1	State1	State0	State0	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State3	State3	State0	State0	State1	State1	State1	State1	State1	State1	State1	State1	State3
State0	State0	State3	State3	State3	State3	State1	State1	State0	State0	State1	State1	State2	State2	State2	State2	State3	State3	State0	State0	State1	State1	State1	State1	State2
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State1	State1	State2	State2	State3	State3	State2	State2	State1	State1	State2	State2	State1	State1	State1
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State1	State1	State2	State2	State3	State3	State2	State2	State1	State1	State3	State3	State2	State2	State0
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State2	State2	State0	State0	State2	State2	State2	State2	State1	State1	State1	State1	State2	State2	State1
State0	State0	State2	State2	State3	State3	State0	State0	State1	State1	State3	State3	State2	State2	State2	State2	State3	State3	State3	State3	State0	State0	State3	State3	State0
State0	State0	State3	State3	State0	State0	State1	State1	State0	State0	State2	State2	State0	State0	State2	State2	State2	State2	State1	State1	State1	State1	State3	State3	State0
State0	State0	State1	State1	State2	State2	State3	State3	State0	State0	State2	State2	State0	State0	State2	State2	State2	State2	State0	State0	State2	State2	State0	State0	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State1	State1	State0	State0	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State2	State2	State1	State1	State2	State2	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State3	State3	State3	State3	State2
State0	State0	State2	State2	State2	State2	State3	State3	State1	State1	State1	State1	State3	State3	State3	State3	State2	State2	State0	State0	State2	State2	State0	State0	State3
State0	State0	State0	State0	State0	State0	State3	State3	State1	State1	State2	State2	State2	State2	State2	State2	State2	State2	State1	State1	State1	State1	State1	State1	State2
State0	State0	State2	State2	State2	State2	State3	State3	State1	State1	State2	State2	State0	State0	State2	State2	State2	State2	State1	State1	State2	State2	State1	State1	State1
State0	State0	State3	State3	State0	State0	State0	State0	State2	State2	State2	State2	State3	State3	State1	State1	State2	State2	State0	State0	State3	State3	State0	State0	State0
State0	State0	State2	State2	State1	State1	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State2	State2	State2	State2	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State0	State0	State0	State0	State2	State2	State2	State2	State1	State1	State2	State2	State2	State2	State2
State0	State0	State1	State1	State2	State2	State3	State3	State1	State1	State3	State3	State1	State1	State1	State1	State1	State1	State0	State0	State1	State1	State0	State0	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State3	State3	State3	State3	State2	State2	State1	State1	State2	State2	State1	State1	State1
State0	State0	State0	State0	State3	State3	State2	State2	State0	State0	State1	State1	State2	State2	State2	State2	State3	State3	State2	State2	State1	State1	State3	State3	State0
State0	State0	State2	State2	State2	State2	State0	State0	State3	State3	State2	State2	State0	State0	State2	State2	State1	State1	State0	State0	State0	State0	State3	State3	State2
State3	State3	State0	State0	State0	State0	State0	State0	State0	State0	State2	State2	State0	State0	State2	State2	State1	State1	State0	State0	State1	State1	State1	State1	State3
State0	State0	State2	State2	State2	State2	State0	State0	State0	State0	State2	State2	State3	State3	State3	State3	State2	State2	State1	State1	State1	State1	State3	State3	State0
State0	State0	State1	State1	State0	State0	State1	State1	State0	State0	State1	State1	State2	State2	State2	State2	State3	State3	State0	State0	State2	State2	State0	State0	State0
State0	State0	State1	State1	State1	State1	State1	State1	State0	State0	State2	State2	State3	State3	State3	State3	State2	State2	State1	State1	State3	State3	State0	State0	State0
State0	State0	State2	State2	State1	State1	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State2	State2	State1	State1	State1	State1	State2
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State3	State3	State0	State0	State1	State1	State1	State1	State0	State0	State3	State3	State0
State0	State0	State1	State1	State2	State2	State1	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State3	State3	State3	State3	State3
State0	State0	State1	State1	State3	State3	State2	State2	State0	State0	State1	State1	State2	State2	State2	State2	State3	State3	State0	State0	State2	State2	State0	State0	State0
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State2	State2	State0	State0	State2	State2	State2	State2	State1	State1	State1	State1	State3	State3	State0
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State2	State2	State0	State0	State2	State2	State2	State2	State1	State1	State0	State0	State3	State3	State0
State0	State0	State2	State2	State2	State2	State3	State3	State1	State1	State1	State1	State3	State3	State0	State0	State0	State0	State2	State2	State2	State2	State0	State0	State0
State0	State0	State2	State2	State2	State2	State3	State3	State1	State1	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State3	State3	State3	State3	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State0	State0	State2	State2	State0	State0	State2	State2	State0	State0	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State3	State3	State0	State0	State1	State1	State0	State0	State3	State3	State0	State0	State0
State0	State0	State1	State1	State0	State0	State1	State1	State0	State0	State2	State2	State0	State0	State2	State2	State2	State2	State1	State1	State2	State2	State1	State1	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State0	State0	State2	State2	State0	State0	State3
State0	State0	State1	State1	State0	State0	State1	State1	State0	State0	State1	State1	State2	State2	State3	State3	State2	State2	State1	State1	State3	State3	State0	State0	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State3	State3	State3	State3	State2	State2	State1	State1	State2	State2	State1	State1	State1
State3	State3	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State0	State0	State1	State1	State2	State2	State1	State1	State1	State1	State3	State3	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State1	State1	State0	State0	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State1	State1	State1	State1	State1	State1	State0	State0	State1	State1	State0	State0	State0
State2	State2	State0	State0	State0	State0	State0	State0	State1	State1	State3	State3	State3	State3	State0	State0	State1	State1	State0	State0	State0	State0	State2	State2	State0
State0	State0	State3	State3	State1	State1	State2	State2	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State0	State0	State1	State1	State2	State2	State2
State0	State0	State2	State2	State2	State2	State0	State0	State2	State2	State1	State1	State1	State1	State2	State2	State3	State3	State2	State2	State1	State1	State2	State2	State1
State0	State0	State2	State2	State1	State1	State2	State2	State2	State2	State3	State3	State0	State0	State3	State3	State1	State1	State0	State0	State0	State0	State2	State2	State0
State0	State0	State1	State1	State2	State2	State1	State1	State0	State0	State2	State2	State0	State0	State2	State2	State2	State2	State0	State0	State3	State3	State0	State0	State1
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State2	State2	State0	State0	State0	State0	State0	State0	State2	State2	State0	State0	State3	State3	State2
State0	State0	State1	State1	State2	State2	State3	State3	State1	State1	State2	State2	State0	State0	State2	State2	State2	State2	State1	State1	State2	State2	State1	State1	State1
State0	State0	State1	State1	State0	State0	State3	State3	State1	State1	State1	State1	State3	State3	State3	State3	State2	State2	State1	State1	State0	State0	State2	State2	State0
State0	State0	State1	State1	State2	State2	State3	State3	State0	State0	State1	State1	State2	State2	State3	State3	State2	State2	State1	State1	State2	State2	State3	State3	State0
State0	State0	State2	State2	State1	State1	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State2	State2	State2	State2	State2
State0	State0	State1	State1	State2	State2	State1	State1	State0	State0	State1	State1	State0	State0	State1	State1	State1	State1	State2	State2	State0	State0	State0	State0	State0
State0	State0	State2	State2	State3	State3	State0	State0	State0	State0	State2	State2	State3	State3	State3	State3	State2	State2	State1	State1	State3	State3	State1	State1	State0
State0	State0	State2	State2	State1	State1	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State2	State2	State2	State2	State2
State0	State0	State1	State1	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State3	State3	State0	State0	State0
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State1	State1	State2	State2	State3	State3	State3	State3	State2	State2	State1	State1	State3	State3	State0
State0	State0	State2	State2	State3	State3	State2	State2	State0	State0	State2	State2	State0	State0	State0	State0	State2	State2	State1	State1	State2	State2	State1	State1	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State3	State3	State3	State3	State3	State3	State2	State2	State0	State0	State0	State0	State0
State0	State0	State2	State2	State1	State1	State3	State3	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State0	State0	State0	State0	State1
State0	State0	State2	State2	State2	State2	State3	State3	State1	State1	State3	State3	State2	State2	State2	State2	State3	State3	State0	State0	State1	State1	State3	State3	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State1	State1	State3	State3	State0	State0	State1	State1	State2
State0	State0	State1	State1	State3	State3	State3	State3	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State2	State2	State0	State0	State2
State2	State2	State1	State1	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State0	State0	State2	State2	State0
State0	State0	State3	State3	State3	State3	State1	State1	State0	State0	State2	State2	State0	State0	State2	State2	State3	State3	State1	State1	State2	State2	State3	State3	State0
State0	State0	State2	State2	State2	State2	State3	State3	State1	State1	State1	State1	State3	State3	State3	State3	State3	State3	State2	State2	State1	State1	State2	State2	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State3	State3	State0	State0	State1	State1	State1	State1	State1	State1	State0	State0	State0
State0	State0	State2	State2	State2	State2	State3	State3	State1	State1	State2	State2	State0	State0	State2	State2	State2	State2	State1	State1	State1	State1	State3	State3	State0
State0	State0	State1	State1	State2	State2	State1	State1	State0	State0	State2	State2	State2	State2	State3	State3	State2	State2	State0	State0	State2	State2	State1	State1	State1
State0	State0	State0	State0	State0	State0	State1	State1	State0	State0	State2	State2	State0	State0	State2	State2	State2	State2	State1	State1	State2	State2	State1	State1	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State3	State3	State0	State0	State1	State1	State0	State0	State1	State1	State2	State2	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State0	State0	State0	State0	State2	State2	State0
State1	State1	State0	State0	State2	State2	State1	State1	State0	State0	State2	State2	State3	State3	State3	State3	State3	State3	State0	State0	State2	State2	State0	State0	State0
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State2	State2	State0	State0	State1	State1	State2	State2	State2	State2	State0	State0	State2	State2	State0
State2	State2	State0	State0	State1	State1	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State1	State1	State3	State3	State0
State0	State0	State3	State3	State0	State0	State1	State1	State0	State0	State2	State2	State0	State0	State1	State1	State2	State2	State1	State1	State1	State1	State0	State0	State0
State0	State0	State1	State1	State0	State0	State1	State1	State0	State0	State2	State2	State3	State3	State3	State3	State2	State2	State1	State1	State3	State3	State0	State0	State0
State0	State0	State2	State2	State3	State3	State3	State3	State2	State2	State2	State2	State2	State2	State2	State2	State1	State1	State2	State2	State1	State1	State1	State1	State0
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State2	State2	State3	State3	State1	State1	State1	State1	State0	State0	State1	State1	State2	State2	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State0	State0	State2	State2	State0
State0	State0	State2	State2	State3	State3	State0	State0	State0	State0	State2	State2	State0	State0	State2	State2	State3	State3	State2	State2	State1	State1	State3	State3	State0
State0	State0	State2	State2	State3	State3	State0	State0	State0	State0	State1	State1	State2	State2	State2	State2	State0	State0	State0	State0	State1	State1	State3	State3	State0
State0	State0	State1	State1	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State0	State0	State0	State0	State0	State0	State3
State3	State3	State0	State0	State2	State2	State1	State1	State0	State0	State2	State2	State0	State0	State2	State2	State2	State2	State2	State2	State1	State1	State2	State2	State1
State0	State0	State2	State2	State1	State1	State2	State2	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State1	State1	State1	State1	State3	State3	State0
State0	State0	State2	State2	State1	State1	State2	State2	State2	State2	State3	State3	State3	State3	State0	State0	State1	State1	State0	State0	State3	State3	State3	State3	State2
State0	State0	State3	State1	State2	State2	State1	State1	State0	State0	State2	State2	State0	State0	State2	State2	State2	State2	State1	State1	State2	State2	State2	State2	State2
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State3	State3	State3	State3	State1	State1	State0	State0	State1	State1	State0	State0	State0
State0	State0	State3	State3	State2	State2	State3	State3	State1	State1	State1	State1	State3	State3	State3	State3	State2	State2	State1	State1	State3	State3	State0	State0	State0
State0	State0	State2	State2	State2	State2	State0	State0	State1	State1	State0	State0	State0	State0	State2	State2	State2	State2	State1	State1	State2	State2	State1	State1	State1
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State2	State2	State0	State0	State2	State2	State3	State3	State1	State1	State3	State3	State0	State0	State0
State0	State0	State0	State0	State0	State0	State3	State3	State1	State1	State2	State2	State0	State0	State2	State2	State3	State3	State1	State1	State2	State2	State1	State1	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State2	State2	State0	State0	State3	State3	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State2	State2	State1	State1	State0	State0	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State0	State0	State3	State3	State2	State2	State2
State0	State0	State3	State3	State1	State1	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State3	State3	State3	State3	State2
State0	State0	State0	State0	State0	State0	State3	State3	State1	State1	State2	State2	State0	State0	State1	State1	State2	State2	State2	State2	State0	State0	State3	State3	State0
State0	State0	State2	State2	State2	State2	State3	State3	State1	State1	State1	State1	State3	State3	State3	State3	State2	State2	State0	State0	State1	State1	State2	State2	State3
State0	State0	State1	State1	State0	State0	State3	State3	State1	State1	State2	State2	State0	State0	State2	State2	State2	State2	State1	State1	State1	State1	State3	State3	State0
State0	State0	State2	State2	State2	State2	State2	State2	State2	State2	State3	State3	State1	State1	State1	State1	State2	State2	State1	State1	State1	State1	State0	State0	State0
State0	State0	State3	State3	State0	State0	State0	State1	State0	State0	State2	State2	State3	State3	State3	State3	State1	State1	State0	State0	State1	State1	State0	State0	State2
State0	State0	State2	State2	State1	State1	State2	State2	State2	State2	State3	State3	State3	State3	State3	State3	State2	State2	State1	State1	State2	State2	State1	State1	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State3	State3	State0	State0	State1	State1	State0	State0	State1	State1	State2	State2	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State0	State0	State2	State2	State3	State3	State3	State3	State2	State2	State3	State3	State1
State0	State0	State1	State1	State0	State0	State1	State1	State0	State0	State1	State1	State2	State2	State3	State3	State2	State2	State0	State0	State2	State2	State2	State2	State1
State0	State0	State2	State2	State2	State2	State3	State3	State1	State1	State3	State3	State2	State2	State3	State3	State2	State2	State1	State1	State0	State0	State1	State1	State2
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State3	State3	State3	State3	State2	State2	State0	State0	State2	State2	State1	State1	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State3	State3	State3	State3	State2	State2	State0	State0	State2	State2	State1	State1	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State1	State1	State3	State3	State0
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State3	State3	State2	State2	State3	State3	State2	State2	State2	State2	State1	State1	State3	State3	State0
State0	State0	State2	State2	State2	State2	State3	State3	State1	State1	State2	State2	State0	State0	State2	State2	State2	State2	State1	State1	State1	State1	State2	State2	State1
State0	State0	State2	State2	State3	State3	State2	State2	State2	State2	State2	State2	State0	State0	State2	State2	State2	State2	State1	State1	State2	State2	State2	State2	State1
State0	State0	State2	State2	State3	State3	State1	State1	State0	State0	State1	State1	State2	State2	State3	State3	State2	State2	State1	State1	State2	State2	State0	State0	State3
